FoodCode	Seq.num	Start.date	End.date	Main.food.description
11519205	5	01/01/11 00:00:00	12/31/12 00:00:00	orange cream milk
11525000	1	01/01/11 00:00:00	12/31/12 00:00:00	Ovaltine
11526000	1	01/01/11 00:00:00	12/31/12 00:00:00	Ovaltine
11527000	1	01/01/11 00:00:00	12/31/12 00:00:00	Ovaltine
11531000	1	01/01/11 00:00:00	12/31/12 00:00:00	eggnog, NFS
11541100	1	01/01/11 00:00:00	12/31/12 00:00:00	ice cream parlor milk shakes
11541100	2	01/01/11 00:00:00	12/31/12 00:00:00	soda shop milk shakes
11541110	1	01/01/11 00:00:00	12/31/12 00:00:00	ice cream parlor milk shakes
11541110	2	01/01/11 00:00:00	12/31/12 00:00:00	soda shop milk shakes
11541120	1	01/01/11 00:00:00	12/31/12 00:00:00	ice cream parlor milk shakes
11541120	2	01/01/11 00:00:00	12/31/12 00:00:00	soda shop milk shakes
11541400	1	01/01/11 00:00:00	12/31/12 00:00:00	malted milk with ice cream
11541500	2	01/01/11 00:00:00	12/31/12 00:00:00	with fat free or nonfat milk
11541510	2	01/01/11 00:00:00	12/31/12 00:00:00	with fat free or nonfat milk
11542100	1	01/01/11 00:00:00	12/31/12 00:00:00	Roy Rogers
11542100	4	01/01/11 00:00:00	12/31/12 00:00:00	Burger King
11542100	5	01/01/11 00:00:00	12/31/12 00:00:00	Dairy Queen
11542100	6	01/01/11 00:00:00	12/31/12 00:00:00	Carl's Jr
11542100	7	01/01/11 00:00:00	12/31/12 00:00:00	Whataburger
11542100	8	01/01/11 00:00:00	12/31/12 00:00:00	McDonald's shake
11542200	1	01/01/11 00:00:00	12/31/12 00:00:00	Roy Rogers
11542200	3	01/01/11 00:00:00	12/31/12 00:00:00	Burger King
11542200	4	01/01/11 00:00:00	12/31/12 00:00:00	Dairy Queen
11542200	5	01/01/11 00:00:00	12/31/12 00:00:00	McDonald's shake
11551050	1	01/01/11 00:00:00	12/31/12 00:00:00	licuado
11552200	2	01/01/11 00:00:00	12/31/12 00:00:00	Strawberry Julius
11552200	3	01/01/11 00:00:00	12/31/12 00:00:00	Pina Colada Julius
