"Food.code"	"Start.date"	"End.date"	"Main.food.description"	"Fortification.identifier"
11531500	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Eggnog, made with 2% reduced fat milk (formerly eggnog, made with \"2% lowfat\" milk)"	2
11541000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk shake, NS as to flavor or type"	2
11541100	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk shake, homemade or fountain-type, NS as to flavor"	2
11541110	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk shake, homemade or fountain-type, chocolate"	2
11541120	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk shake, homemade or fountain-type, flavors other than chocolate"	2
11541400	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk shake with malt"	2
11541500	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk shake, made with skim milk, chocolate"	2
11541510	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk shake, made with skim milk, flavors other than chocolate"	2
11542000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Carry-out milk shake, NS as to flavor"	0
11542100	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Carry-out milk shake, chocolate"	0
11542200	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Carry-out milk shake, flavors other than chocolate"	0
11551050	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk fruit drink"	2
11552200	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Orange Julius"	0
11553000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Fruit smoothie drink, made with fruit or fruit juice and dairy products"	2
11553100	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Fruit smoothie drink, NFS"	2
11560000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Chocolate-flavored drink, whey- and milk-based"	1
11560020	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Flavored milk drink, whey- and milk-based, flavors other than chocolate"	1
11561000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cafe con leche"	2
11561010	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cafe con leche prepared with sugar"	2
11710000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Infant formula, NFS"	1
11710050	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Expert Care Alimentum, infant formula, NS as to form"	1
11710051	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Expert Care Alimentum, infant formula, ready-to-feed"	1
11710053	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Expert Care Alimentum, infant formula, prepared from powder, made with water, NFS"	1
11710054	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Expert Care Alimentum, infant formula, prepared from powder, made with tap water"	1
11710055	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Expert Care Alimentum, infant formula, prepared from powder, made with plain bottled water"	1
11710056	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Expert Care Alimentum, infant formula, prepared from powder, made with baby water"	1
11710350	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Advance, infant formula, NS as to form"	1
11710351	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Advance, infant formula, ready-to-feed"	1
