"Modification.code"	"Start.date"	"End.date"	"Modification.description"	"Food.code"
200225	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Beans, string, green, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"	75205031
200240	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Corn, yellow, cooked, from canned, fat added in cooking W/ BUTTER, NFS"	75216123
200243	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Pudding, chocolate, prepared from dry mix, milk added W/ SKIM MILK"	13220120
200246	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Pinto, calico, or red Mexican beans, dry, cooked, fat added in cooking W/ MARGARINE, NFS"	41104010
200316	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Onions, mature, cooked or sauteed, from fresh, fat added in cooking W/ BUTTER, NFS"	75221021
200323	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Onions, mature, cooked or sauteed, NS as to form, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75221020
200361	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Peas, green, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"	75224032
200364	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Carrots, cooked, from canned, glazed W/ BUTTER, NFS"	73102243
200375	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Corn, yellow, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"	75216121
200385	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Pudding, flavors other than chocolate, prepared from dry mix, milk added W/ WHOLE MILK"	13220110
200389	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Peas, green, cooked, NS as to form, fat added in cooking W/ BUTTER, NFS"	75224030
200394	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Asparagus, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"	75202021
200395	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Pudding, flavors other than chocolate, prepared from dry mix, low calorie, containing artificial sweetener, milk added W/ SKIM MILK"	13220210
