	PD_whole_tree	shannon	simpson	observed_otus
CS.323	62.0	2.80197172817	0.828897189966	12.0
CS.332	51.0	3.35332185341	0.896222287935	11.0
L.001.M3	44.0	2.47123004124	0.788072154837	8.0
L.001.M4	36.0	2.23633157823	0.724473975982	7.0
L.001.M5	30.0	1.75399986091	0.663119663595	5.0
L.001.MEXTRA.NOSAMPLE	29.0	1.98146814083	0.705906848055	6.0
L.002.M0	29.0	2.0652509051	0.72590275931	5.0
L.004.M2	47.0	2.71933587142	0.828015357013	8.0
L.004.M4	34.0	1.9835128955	0.680335936213	6.0
L.004.M5	45.0	2.45346257271	0.771595944151	8.0
L.006.M3	30.0	1.95155271082	0.693685595277	6.0
L.008.M2	29.0	1.95069474194	0.714374164469	5.0
L.008.M3	41.0	2.28218370072	0.74254066606	7.0
L.008.M5	29.0	2.23065717661	0.773787103886	5.0
L.022.M3	32.0	1.99033319011	0.639866588501	7.0
L.031.M2	59.0	2.8521801815	0.837253033252	12.0
L.031.M4	38.0	1.99965891798	0.612672281532	8.0
L.031.M6	48.0	2.93816937708	0.829653443913	11.0
L.035.M2	32.0	2.08745619564	0.682086363413	6.0
L.035.M4.NOSAMPLE	46.0	2.6344414866	0.811600479384	9.0
L.035.M5	49.0	2.75030477895	0.804583666155	9.0
L.035.M5.1	46.0	2.88398247419	0.853643966547	9.0
T.CS.116	72.0	2.5290812255	0.669605739853	16.0
T.CS.119	36.0	1.91980935145	0.667009589287	7.0
T.CS.163	60.0	2.75191235579	0.799915115094	12.0
CS.029	46.0	2.9286542605	0.86342917871	8.0
CS.096	33.0	2.01487335478	0.696734464099	6.0
CS.101	38.0	2.28552403834	0.758244939339	7.0
CS.115	98.0	3.25105632143	0.860244869772	19.0
CS.182	70.0	3.45148637688	0.890774505881	14.0
CS.349	82.0	2.94824123734	0.807233978858	15.0
CS.389	74.0	3.7674378804	0.914278542343	17.0
CS.390	69.0	2.94640680628	0.840505599659	14.0
CS.391	89.0	3.01070752404	0.814232090079	17.0
CS.393	51.0	2.67695849994	0.803576371286	9.0
L.001.M2.NOSAMPLE	35.0	2.18104909153	0.698377007608	7.0
L.036.M6	31.0	1.93419312804	0.66315857438	6.0
L.025.M6	40.0	2.29168635615	0.761964724556	7.0
T.CS.093	56.0	2.98171150925	0.844679434697	11.0
T.CS.162	50.0	2.17844755795	0.683155832269	9.0
T.CS.019	29.0	1.7064086586	0.611549610661	5.0
CS.086	41.0	2.60776637319	0.819625187881	7.0
CS.166	65.0	2.93933543479	0.805585471965	14.0
CS.233	28.0	2.04849105545	0.727708863467	5.0
CS.283	53.0	2.81677073371	0.823892417096	10.0
CS.372	92.0	4.01142477838	0.928226136971	21.0
CS.377	79.0	3.37349818906	0.863323016498	16.0
L.004.M1	39.0	2.33074054113	0.764466738846	7.0
T.CS.025	47.0	2.80397686745	0.821811077372	9.0
T.CS.096	57.0	2.71796316753	0.803026860818	12.0
CS.181	98.0	3.68754966808	0.907020416605	20.0
CS.255	55.0	3.05952280743	0.838230866478	12.0
CS.275	82.0	3.29812027824	0.85848732773	19.0
CS.385	77.0	3.68931654101	0.911142075841	16.0
CS.386	58.0	2.92339535468	0.84154578455	11.0
CS.370	72.0	3.18770583477	0.852708514764	14.0
CS.228	49.0	3.21085903836	0.883538193094	10.0
CS.256	44.0	2.72167637203	0.822162162162	8.0
CS.359	81.0	3.41287191846	0.888123033504	16.0
CS.158	40.0	2.22071093496	0.734690727548	7.0
CS.223	56.0	3.0696434752	0.870691728592	10.0
CS.308.0	51.0	1.96512547635	0.612784780024	9.0
CS.326	83.0	3.40634588476	0.850853103012	17.0
CS.369	67.0	3.15406735276	0.857208086778	13.0
CS.252	91.0	3.63634869109	0.905714077402	17.0
CS.077	47.0	2.81916670158	0.850772664154	9.0
T.CS.177	48.0	2.97622476805	0.843142601235	11.0
CS.249	51.0	2.76728990329	0.83873094499	10.0
