Food.code	Seq.num	Start.date	End.date	Additional.food.description
11542100	11	01/01/13 00:00:00	12/31/14 00:00:00	Arbys
11542100	12	01/01/13 00:00:00	12/31/14 00:00:00	Dunkin_Donuts
11542100	13	01/01/13 00:00:00	12/31/14 00:00:00	Sonic
11542100	14	01/01/13 00:00:00	12/31/14 00:00:00	from_other_place
11542200	3	01/01/13 00:00:00	12/31/14 00:00:00	Burger_King
11542200	4	01/01/13 00:00:00	12/31/14 00:00:00	Dairy_Queen
11542200	5	01/01/13 00:00:00	12/31/14 00:00:00	McDonalds
11542200	6	01/01/13 00:00:00	12/31/14 00:00:00	Wendys_Frosty_Shakes
11542200	7	01/01/13 00:00:00	12/31/14 00:00:00	Jack_in_the_Box
11542200	8	01/01/13 00:00:00	12/31/14 00:00:00	Arbys
11542200	9	01/01/13 00:00:00	12/31/14 00:00:00	Dunkin_Donuts
11542200	10	01/01/13 00:00:00	12/31/14 00:00:00	Sonic
11542200	11	01/01/13 00:00:00	12/31/14 00:00:00	from_other_place
11542200	12	01/01/13 00:00:00	12/31/14 00:00:00	NS_as_to_flavor_or_type
11543000	1	01/01/13 00:00:00	12/31/14 00:00:00	canned
11543000	2	01/01/13 00:00:00	12/31/14 00:00:00	reconstituted_dry_mix
11543000	3	01/01/13 00:00:00	12/31/14 00:00:00	Hersheys
11543000	4	01/01/13 00:00:00	12/31/14 00:00:00	Chug
11543010	1	01/01/13 00:00:00	12/31/14 00:00:00	canned
11543010	2	01/01/13 00:00:00	12/31/14 00:00:00	reconstituted_dry_mix
