Food.code	taxonomy	Description
11512110	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Hot_chocolate__Cocoa_ready_to_drink_made_with_nonfat_milk_and_whipped_cream	Hot chocolate  Cocoa ready to drink made with nonfat milk and whipped cream
11512120	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Hot_chocolate__Cocoa_ready_to_drink_made_with_nondairy_milk_and_whipped_cream	Hot chocolate  Cocoa ready to drink made with nondairy milk and whipped cream
11513000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Chocolate_milk_made_from_dry_mix_NS_as_to_type_of_milk	Chocolate milk made from dry mix NS as to type of milk
11513100	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Chocolate_milk_made_from_dry_mix_with_whole_milk	Chocolate milk made from dry mix with whole milk
11513150	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Chocolate_milk_made_from_dry_mix_with_reduced_fat_milk_2	Chocolate milk made from dry mix with reduced fat milk 2
11513200	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Chocolate_milk_made_from_dry_mix_with_low_fat_milk_1	Chocolate milk made from dry mix with low fat milk 1
11513300	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Chocolate_milk_made_from_dry_mix_with_fat_free_milk_skim	Chocolate milk made from dry mix with fat free milk skim
11513310	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Chocolate_milk_made_from_dry_mix_with_nondairy_milk	Chocolate milk made from dry mix with nondairy milk
11513350	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Chocolate_milk_made_from_reduced_sugar_mix_NS_as_to_type_of_milk	Chocolate milk made from reduced sugar mix NS as to type of milk
11513355	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Chocolate_milk_made_from_reduced_sugar_mix_with_whole_milk	Chocolate milk made from reduced sugar mix with whole milk
11513360	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Chocolate_milk_made_from_reduced_sugar_mix_with_reduced_fat_milk_2	Chocolate milk made from reduced sugar mix with reduced fat milk 2
11513365	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Chocolate_milk_made_from_reduced_sugar_mix_with_low_fat_milk_1	Chocolate milk made from reduced sugar mix with low fat milk 1
11513370	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Chocolate_milk_made_from_reduced_sugar_mix_with_fat_free_milk_skim	Chocolate milk made from reduced sugar mix with fat free milk skim
11513375	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Chocolate_milk_made_from_reduced_sugar_mix_with_nondairy_milk	Chocolate milk made from reduced sugar mix with nondairy milk
11513380	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Nesquik_chocolate_milk_made_from_dry_mix_NS_as_to_type_of_milk	Nesquik chocolate milk made from dry mix NS as to type of milk
11513381	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Nesquik_chocolate_milk_made_from_dry_mix_with_whole_milk	Nesquik chocolate milk made from dry mix with whole milk
11513382	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Nesquik_chocolate_milk_made_from_dry_mix_with_reduced_fat_milk_2	Nesquik chocolate milk made from dry mix with reduced fat milk 2
11513383	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Nesquik_chocolate_milk_made_from_dry_mix_with_low_fat_milk_1	Nesquik chocolate milk made from dry mix with low fat milk 1
11513384	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Nesquik_chocolate_milk_made_from_dry_mix_with_fat_free_milk_skim	Nesquik chocolate milk made from dry mix with fat free milk skim
11513385	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Nesquik_chocolate_milk_made_from_dry_mix_with_nondairy_milk	Nesquik chocolate milk made from dry mix with nondairy milk
11513390	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_NS_as_to_type_of_milk	Nesquik chocolate milk made from no sugar added dry mix NS as to type of milk
11513391	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_whole_milk	Nesquik chocolate milk made from no sugar added dry mix with whole milk
11513392	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_reduced_fat_milk_2	Nesquik chocolate milk made from no sugar added dry mix with reduced fat milk 2
11513393	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_low_fat_milk_1	Nesquik chocolate milk made from no sugar added dry mix with low fat milk 1
11513394	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_;L5_;Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_fat_free_milk_skim	Nesquik chocolate milk made from no sugar added dry mix with fat free milk skim
