Food.code	taxonomy	Description
58150340	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_fried_with_beef	Rice fried with beef
58150510	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_fried_with_shrimp	Rice fried with shrimp
58150520	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Dukboki__Tteokbokki_Korean	Dukboki  Tteokbokki Korean
58150530	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Adobo_Filipino_dish_with_rice	Adobo Filipino dish with rice
58151100	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Sushi_NFS	Sushi NFS
58151130	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Sushi_with_vegetables_and_seafood	Sushi with vegetables and seafood
58151140	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Sushi_with_vegetables_rolled_in_seaweed	Sushi with vegetables rolled in seaweed
58151170	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Sushi_roll_maki_or_temaki_avocado	Sushi roll maki or temaki avocado
58151180	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Sushi_roll_maki_or_temaki_California	Sushi roll maki or temaki California
58151190	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Sushi_roll_maki_or_temaki_eel	Sushi roll maki or temaki eel
58151200	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Sushi_roll_maki_or_temaki_salmon	Sushi roll maki or temaki salmon
58151210	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Sushi_roll_maki_or_temaki_shrimp	Sushi roll maki or temaki shrimp
58151220	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Sushi_roll_maki_or_temaki_tuna	Sushi roll maki or temaki tuna
58151230	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Sushi_roll_maki_or_temaki_vegetable	Sushi roll maki or temaki vegetable
58151400	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Sushi_Nigiri_topped_with_crab	Sushi Nigiri topped with crab
58151410	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Sushi_Nigiri_topped_with_eel	Sushi Nigiri topped with eel
58151420	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Sushi_Nigiri_topped_with_salmon	Sushi Nigiri topped with salmon
58151430	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Sushi_Nigiri_topped_with_shrimp	Sushi Nigiri topped with shrimp
58151440	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Sushi_Nigiri_topped_with_tuna	Sushi Nigiri topped with tuna
58151450	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Sushi_Nigiri_topped_with_egg	Sushi Nigiri topped with egg
58155110	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_with_chicken_Puerto_Rican_style_Arroz_con_Pollo	Rice with chicken Puerto Rican style Arroz con Pollo
58155210	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Stuffed_rice_with_chicken_Dominican_style_Arroz_relleno_Dominicano	Stuffed rice with chicken Dominican style Arroz relleno Dominicano
58155310	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Paella_Valenciana_style_with_meat_Paella_Valenciana	Paella Valenciana style with meat Paella Valenciana
58155320	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Seafood_paella_Puerto_Rican_style	Seafood paella Puerto Rican style
58155410	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Soupy_rice_with_chicken_Puerto_Rican_style_Asopao_de_pollo	Soupy rice with chicken Puerto Rican style Asopao de pollo
58155510	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Soupy_rice_mixture_with_chicken_and_potatoes_Puerto_Rican_style	Soupy rice mixture with chicken and potatoes Puerto Rican style
58155610	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_meal_fritter_Puerto_Rican_style_Almojabana	Rice meal fritter Puerto Rican style Almojabana
58155810	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Stewed_rice_Puerto_Rican_style_arroz_guisado	Stewed rice Puerto Rican style arroz guisado
58155910	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_with_squid_Puerto_Rican_style_arroz_con_calamares	Rice with squid Puerto Rican style arroz con calamares
58156110	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Fried_rice_Puerto_Rican_style_arroz_frito	Fried rice Puerto Rican style arroz frito
58156210	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_with_vienna_sausage_Puerto_Rican_style_arroz_con_salchichas	Rice with vienna sausage Puerto Rican style arroz con salchichas
58156310	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_with_Spanish_sausage_Puerto_Rican_style	Rice with Spanish sausage Puerto Rican style
58156410	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_with_onions_Puerto_Rican_style_arroz_con_cebollas	Rice with onions Puerto Rican style arroz con cebollas
58156510	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Soupy_rice_from_Puerto_Rican_style_Asopao_de_Pollo_chicken_parts_reported_separately	Soupy rice from Puerto Rican style Asopao de Pollo chicken parts reported separately
58156610	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Pigeon_pea_asopao_Asopao_de_gandules	Pigeon pea asopao Asopao de gandules
58156710	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_with_stewed_beans_Puerto_Rican_style	Rice with stewed beans Puerto Rican style
58157110	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Spicy_rice_pudding_Puerto_Rican_style	Spicy rice pudding Puerto Rican style
58157210	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_pudding_made_with_coconut_milk_Puerto_Rican_style	Rice pudding made with coconut milk Puerto Rican style
58157300	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Congee_Asian_with_meat_poultry_andor_seafood	Congee Asian with meat poultry andor seafood
58157310	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Congee_Asian_with_meat_poultry_andor_seafood_and_vegetables	Congee Asian with meat poultry andor seafood and vegetables
58157320	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Congee_Asian_with_vegetables	Congee Asian with vegetables
58160000	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Biryani_with_vegetables	Biryani with vegetables
58160110	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_with_beans	Rice with beans
58160120	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_with_beans_and_tomatoes	Rice with beans and tomatoes
58160130	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_with_beans_and_chicken	Rice with beans and chicken
58160135	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_with_beans_and_beef	Rice with beans and beef
58160140	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_with_beans_and_pork	Rice with beans and pork
58160150	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Red_beans_and_rice	Red beans and rice
58160160	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Hopping_John_blackeye_peas_and_rice	Hopping John blackeye peas and rice
58160400	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_corn_NS_as_to_fat_added_in_cooking	Rice white with corn NS as to fat added in cooking
58160410	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_corn_fat_not_added_in_cooking	Rice white with corn fat not added in cooking
58160420	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_corn_fat_added_in_cooking	Rice white with corn fat added in cooking
58160430	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_peas_NS_as_to_fat_added_in_cooking	Rice white with peas NS as to fat added in cooking
58160440	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_peas_fat_not_added_in_cooking	Rice white with peas fat not added in cooking
58160450	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_peas_fat_added_in_cooking	Rice white with peas fat added in cooking
58160460	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_carrots_NS_as_to_fat_added_in_cooking	Rice white with carrots NS as to fat added in cooking
58160470	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_carrots_fat_not_added_in_cooking	Rice white with carrots fat not added in cooking
58160480	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_carrots_fat_added_in_cooking	Rice white with carrots fat added in cooking
58160490	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_peas_and_carrots_NS_as_to_fat_added_in_cooking	Rice white with peas and carrots NS as to fat added in cooking
58160500	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_peas_and_carrots_fat_not_added_in_cooking	Rice white with peas and carrots fat not added in cooking
58160510	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_peas_and_carrots_fat_added_in_cooking	Rice white with peas and carrots fat added in cooking
58160520	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_tomatoes_andor_tomato_based_sauce_NS_as_to_fat_added_in_cooking	Rice white with tomatoes andor tomato based sauce NS as to fat added in cooking
58160530	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_tomatoes_andor_tomato_based_sauce_fat_not_added_in_cooking	Rice white with tomatoes andor tomato based sauce fat not added in cooking
58160540	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_tomatoes_andor_tomato_based_sauce_fat_added_in_cooking	Rice white with tomatoes andor tomato based sauce fat added in cooking
58160550	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_dark_green_vegetables_NS_as_to_fat_added_in_cooking	Rice white with dark green vegetables NS as to fat added in cooking
58160560	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_dark_green_vegetables_fat_not_added_in_cooking	Rice white with dark green vegetables fat not added in cooking
58160570	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_dark_green_vegetables_fat_added_in_cooking	Rice white with dark green vegetables fat added in cooking
58160580	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_carrots_and_tomatoes_andor_tomatobased_sauce_NS_as_to_fat_added_in_cooking	Rice white with carrots and tomatoes andor tomatobased sauce NS as to fat added in cooking
58160590	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_carrots_and_tomatoes_andor_tomatobased_sauce_fat_not_added_in_cooking	Rice white with carrots and tomatoes andor tomatobased sauce fat not added in cooking
58160600	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_carrots_and_tomatoes_andor_tomatobased_sauce_fat_added_in_cooking	Rice white with carrots and tomatoes andor tomatobased sauce fat added in cooking
58160610	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_dark_green_vegetables_and_tomatoes_andor_tomatobased_sauce_NS_as_to_fat_added_in_cooking	Rice white with dark green vegetables and tomatoes andor tomatobased sauce NS as to fat added in cooking
58160620	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_dark_green_vegetables_and_tomatoes_andor_tomatobased_sauce_fat_not_added_in_cooking	Rice white with dark green vegetables and tomatoes andor tomatobased sauce fat not added in cooking
58160630	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_dark_green_vegetables_and_tomatoes_andor_tomatobased_sauce_fat_added_in_cooking	Rice white with dark green vegetables and tomatoes andor tomatobased sauce fat added in cooking
58160640	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_carrots_and_dark_green_vegetables_NS_as_to_fat_added_in_cooking	Rice white with carrots and dark green vegetables NS as to fat added in cooking
58160650	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_carrots_and_dark_green_vegetables_fat_not_added_in_cooking	Rice white with carrots and dark green vegetables fat not added in cooking
58160660	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_carrots_and_dark_green_vegetables_fat_added_in_cooking	Rice white with carrots and dark green vegetables fat added in cooking
58160670	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_carrots_dark_green_vegetables_and_tomatoes_andor_tomatobased_sauce_NS_as_to_fat_added_in_cooking	Rice white with carrots dark green vegetables and tomatoes andor tomatobased sauce NS as to fat added in cooking
58160680	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_carrots_dark_green_vegetables_and_tomatoes_andor_tomatobased_sauce_fat_not_added_in_cooking	Rice white with carrots dark green vegetables and tomatoes andor tomatobased sauce fat not added in cooking
58160690	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_carrots_dark_green_vegetables_and_tomatoes_andor_tomatobased_sauce_fat_added_in_cooking	Rice white with carrots dark green vegetables and tomatoes andor tomatobased sauce fat added in cooking
58160700	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_other_vegetables_NS_as_to_fat_added_in_cooking	Rice white with other vegetables NS as to fat added in cooking
58160710	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_other_vegetables_fat_not_added_in_cooking	Rice white with other vegetables fat not added in cooking
58160720	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_other_vegetables_fat_added_in_cooking	Rice white with other vegetables fat added in cooking
58160800	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_lentils_NS_as_to_fat_added_in_cooking	Rice white with lentils NS as to fat added in cooking
58160805	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_lentils_fat_added_in_cooking	Rice white with lentils fat added in cooking
58160810	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_white_with_lentils_fat_not_added_in_cooking	Rice white with lentils fat not added in cooking
58161200	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_cooked_with_coconut_milk_Arroz_con_coco	Rice cooked with coconut milk Arroz con coco
58161320	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_beans	Rice brown with beans
58161325	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_beans_and_tomatoes	Rice brown with beans and tomatoes
58161420	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_corn_NS_as_to_fat_added_in_cooking	Rice brown with corn NS as to fat added in cooking
58161422	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_corn_fat_not_added_in_cooking	Rice brown with corn fat not added in cooking
58161424	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_corn_fat_added_in_cooking	Rice brown with corn fat added in cooking
58161430	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_peas_NS_as_to_fat_added_in_cooking	Rice brown with peas NS as to fat added in cooking
58161432	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_peas_fat_not_added_in_cooking	Rice brown with peas fat not added in cooking
58161434	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_peas_fat_added_in_cooking	Rice brown with peas fat added in cooking
58161435	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_carrots_NS_as_to_fat_added_in_cooking	Rice brown with carrots NS as to fat added in cooking
58161437	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_carrots_fat_not_added_in_cooking	Rice brown with carrots fat not added in cooking
58161439	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_carrots_fat_added_in_cooking	Rice brown with carrots fat added in cooking
58161440	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_peas_and_carrots_NS_as_to_fat_added_in_cooking	Rice brown with peas and carrots NS as to fat added in cooking
58161442	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_peas_and_carrots_fat_not_added_in_cooking	Rice brown with peas and carrots fat not added in cooking
58161444	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_peas_and_carrots_fat_added_in_cooking	Rice brown with peas and carrots fat added in cooking
58161460	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_tomatoes_andor_tomato_based_sauce_NS_as_to_fat_added_in_cooking	Rice brown with tomatoes andor tomato based sauce NS as to fat added in cooking
58161462	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_tomatoes_andor_tomato_based_sauce_fat_not_added_in_cooking	Rice brown with tomatoes andor tomato based sauce fat not added in cooking
58161464	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_tomatoes_andor_tomato_based_sauce_fat_added_in_cooking	Rice brown with tomatoes andor tomato based sauce fat added in cooking
58161470	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_dark_green_vegetables_NS_as_to_fat_added_in_cooking	Rice brown with dark green vegetables NS as to fat added in cooking
58161472	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_dark_green_vegetables_fat_not_added_in_cooking	Rice brown with dark green vegetables fat not added in cooking
58161474	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_dark_green_vegetables_fat_added_in_cooking	Rice brown with dark green vegetables fat added in cooking
58161480	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_carrots_and_tomatoes_andor_tomatobased_sauce_NS_as_to_fat_added_in_cooking	Rice brown with carrots and tomatoes andor tomatobased sauce NS as to fat added in cooking
58161482	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_carrots_and_tomatoes_andor_tomatobased_sauce_fat_not_added_in_cooking	Rice brown with carrots and tomatoes andor tomatobased sauce fat not added in cooking
58161484	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_carrots_and_tomatoes_andor_tomatobased_sauce_fat_added_in_cooking	Rice brown with carrots and tomatoes andor tomatobased sauce fat added in cooking
58161490	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_dark_green_vegetables_and_tomatoes_andor_tomatobased_sauce__NS_as_to_fat_added_in_cooking	Rice brown with dark green vegetables and tomatoes andor tomatobased sauce  NS as to fat added in cooking
58161492	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_dark_green_vegetables_and_tomatoes_andor_tomatobased_sauce_fat_not_added_in_cooking	Rice brown with dark green vegetables and tomatoes andor tomatobased sauce fat not added in cooking
58161494	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_dark_green_vegetables_and_tomatoes_andor_tomatobased_sauce_fat_added_in_cooking	Rice brown with dark green vegetables and tomatoes andor tomatobased sauce fat added in cooking
58161500	L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_;L5_;Rice_brown_with_carrots_and_dark_green_vegetables_NS_as_to_fat_added_in_cooking	Rice brown with carrots and dark green vegetables NS as to fat added in cooking
