FoodCode	ModCode	Main.food.description	Old.Main.food.description	FoodID
27120160	0	Pork_curry	Pork curry	27120160.0
27130100	0	Lamb_curry	Lamb curry	27130100.0
27141500	0	Chili_con_carne_with_chicken_or_turkey_and_beans	Chili con carne with chicken or turkey and beans	27141500.0
27146010	0	Chicken_or_turkey_with_barbecue_sauce_skin_not_eaten	Chicken or turkey with barbecue sauce, skin not eaten	27146010.0
27146150	0	Chicken_curry	Chicken curry	27146150.0
27146350	0	Lemon_chicken_Chinese_style	Lemon chicken, Chinese style	27146350.0
27146400	0	Chicken_kiev	Chicken kiev	27146400.0
27150100	0	Shrimp_curry	Shrimp curry	27150100.0
27150210	0	Fish_sauce	Fish sauce	27150210.0
27150320	0	Fish_curry	Fish curry	27150320.0
27214100	0	Meatballs_beef	Meatballs, beef	27214100.0
27246100	0	Chicken_or_turkey_with_dumplings	Chicken or turkey with dumplings	27246100.0
27250030	0	Codfish_ball_or_cake	Codfish ball or cake	27250030.0
27347100	0	Chicken_or_turkey_pot_pie	Chicken or turkey pot pie	27347100.0
27415100	0	Beef_and_vegetable_stir_fry_in_soy_based_sauce_with_carrots_and_broccoli	Beef and vegetable stir fry, in soy-based sauce, with carrots and broccoli	27415100.0
27416300	0	Beef_taco_filling_beef_cheese_tomato_taco_sauce	Beef taco filling: beef, cheese, tomato, taco sauce	27416300.0
27445110	0	Chicken_and_vegetable_stir_fry_in_soy_based_sauce_with_green_pepper_broccoli_and_carrots	Chicken and vegetable stir fry, in soy-based sauce, with green pepper, broccoli and carrots	27445110.0
27445120	0	Chicken_and_vegetable_stir_fry_in_soy_based_sauce_with_bamboo_shoots_and_water_chestnuts	Chicken and vegetable stir fry, in soy-based sauce, with bamboo shoots and water chestnuts	27445120.0
27446355	0	Salad_Asian_chicken_crispy_noodles_lettuce_tangerine_almonds_no_dressing	Salad, Asian chicken, crispy noodles, lettuce, tangerine, almonds, no dressing	27446355.0
27450060	0	Tuna_salad_with_mayonnaise	Tuna salad, with mayonnaise	27450060.0
27450410	0	Hunan_shrimp	Hunan shrimp	27450410.0
27510270	0	Double_cheeseburger_plain_on_bun	Double cheeseburger, plain, on bun	27510270.0
27510330	0	Burger_King_Double_Cheeseburger	Burger King, Double Cheeseburger	27510330.0
27510500	0	Hamburger_plain_on_bun	Hamburger, plain, on bun	27510500.0
27510510	0	Wendy_s_Jr_Hamburger	Wendy's, Jr. Hamburger	27510510.0
27510530	0	Hamburger_1_4_lb_meat_plain_on_bun	Hamburger, 1/4 lb meat, plain, on bun	27510530.0
27510650	0	Double_hamburger_plain_on_bun	Double hamburger, plain, on bun	27510650.0
27515070	0	Steak_and_cheese_sub_with_peppers_and_onions	Steak and cheese sub, with peppers and onions	27515070.0
27520320	0	Ham_and_cheese_sandwich_with_lettuce_and_margarine	Ham and cheese sandwich, with lettuce and margarine	27520320.0
27520510	0	Pork_barbecue_sandwich_on_bun	Pork barbecue sandwich, on bun	27520510.0
27540140	0	Fried_chicken_sandwich_Chick_fil_A_McDonald_s_	Fried chicken sandwich (Chick-fil-A, McDonald's)	27540140.0
27540190	0	Fried_chicken_sandwich_with_lettuce_and_mayonnaise_McDonald_s_Burger_King_KFC_	Fried chicken sandwich, with lettuce and mayonnaise (McDonald's, Burger King, KFC)	27540190.0
27540200	0	Chicken_sandwich_fajita_style_on_pita_bread_with_cheese_lettuce_and_tomato_Jack_in_the_Box_	Chicken sandwich, fajita-style, on pita bread, with cheese, lettuce and tomato (Jack-in-the-Box)	27540200.0
27540290	0	Chicken_submarine_sandwich_with_lettuce_tomato_and_teriyaki_sauce_Subway_Jerry_s_	Chicken submarine sandwich, with lettuce, tomato, and teriyaki sauce (Subway, Jerry's)	27540290.0
27540291	0	Chicken_submarine_sandwich_with_cheese_lettuce_tomato_and_mayonnaise	Chicken submarine sandwich, with cheese, lettuce, tomato, and mayonnaise	27540291.0
27541000	0	Club_sandwich_turkey_ham_roast_beef_lettuce_tomato_spread_Subway_	Club sandwich, turkey, ham, roast beef, lettuce, tomato, spread (Subway)	27541000.0
27560300	0	Corn_dog	Corn dog	27560300.0
27560670	0	Sausage_and_cheese_on_English_muffin_McDonald_s_Sausage_McMuffin_	Sausage and cheese on English muffin (McDonald's Sausage McMuffin)	27560670.0
27564060	0	Hot_dog_beef_plain_on_bun	Hot dog, beef, plain, on bun	27564060.0
28310110	0	Broth_beef	Broth, beef	28310110.0
28310330	0	Beef_and_rice_noodle_soup_Oriental_style_Vietnamese_Pho_Bo_	Beef and rice noodle soup, Oriental style (Vietnamese Pho Bo)	28310330.0
28320150	0	Pork_and_vegetable_soup_with_potatoes_stew_type_chunky_style	Pork and vegetable soup with potatoes, stew type, chunky style	28320150.0
28340530	0	Chicken_soup	Chicken soup	28340530.0
28340680	0	Chicken_or_turkey_and_corn_hominy_soup_Mexican_style_Pozole_	Chicken or turkey and corn hominy soup, Mexican style (Pozole)	28340680.0
28349999	0	Broth_chicken	Broth, chicken	28349999.0
28351110	0	Fish_and_vegetable_soup_no_potatoes	Fish and vegetable soup, no potatoes	28351110.0
28351120	0	Fish_soup_with_potatoes	Fish soup, with potatoes	28351120.0
28520100	0	Oyster_sauce	Oyster sauce	28520100.0
31101010	0	Egg_raw	Egg, raw	31101010.0
31103010	0	Egg_hardboiled_with_salt_added	Egg, hardboiled, with salt added	31103010.0
31103010	900000	Eggs_hardboiled_no_salt_added	Eggs, hardboiled, no salt added	31103010.900000
31105010	0	Eggs_fried_no_fat_added	Eggs, fried, no fat added	31105010.0
31105030	0	Eggs_fried_in_oil	Eggs, fried in oil	31105030.0
31105040	0	Egg_fried_in_butter	Egg, fried in butter	31105040.0
31105060	0	Eggs_fried_in_animal_fat	Eggs, fried in animal fat	31105060.0
31109010	0	Egg_whites_cooked_no_fat_added	Egg whites, cooked, no fat added	31109010.0
32130040	0	Omelet_plain_cooked_in_animal_fat	Omelet, plain, cooked in animal fat	32130040.0
32202010	0	Egg_cheese_and_ham_on_English_muffin_Egg_McMuffin_	Egg, cheese, and ham on English muffin (Egg McMuffin)	32202010.0
